Week,Fertilizer to add,Mulch to add,Watering
Week 1,0.0,4.765384615384615,8.333243096029015
Week 2,0.0,4.765384615384615,8.318619410846008
Week 3,0.0,4.688461538461539,8.315485028920893
Week 4,0.0,4.611538461538462,8.322773787022447
Week 5,0.0,4.534615384615385,7.408155601166122
Week 6,0.0,4.534615384615385,8.408155601166122
Week 7,0.0,4.534615384615385,8.908155601166122
Week 8,0.0,4.534615384615385,9.158155601166122
Week 9,0.0,4.534615384615385,6.408155601166122
Week 10,0.0,4.534615384615385,4.408155601166122
Week 11,0.0,4.534615384615385,8.583012476265681
Week 12,0.0,4.457692307692309,8.639262862947014
Week 13,0.0,4.380769230769232,8.697825314832915
Week 14,0.0,4.303846153846155,7.408155601166122
Week 15,0.0,4.303846153846155,8.81897420939609
Week 16,0.0,4.226923076923079,8.88018701600991
Week 17,0.0,4.150000000000002,8.940964615701391
Week 18,0.0,4.0730769230769255,9.000702656786524
Week 19,0.0,3.996153846153849,9.058829774120385
Week 20,0.0,3.919230769230772,9.114807589097135
Week 21,0.0,3.8423076923076955,9.168130709650022
Week 22,0.0,3.765384615384619,9.21832673025138
Week 23,0.0,3.6884615384615422,9.264956231912635
Week 24,0.0,3.6115384615384656,9.307612782184291
Week 25,0.0,3.534615384615389,9.345922935155942
Week 26,0.0,3.4576923076923123,9.37954623145627
Week 27,0.0,3.3807692307692356,9.408175198253042
Week 28,0.0,3.303846153846159,9.408155601166122
Week 29,0.0,3.303846153846159,9.408155601166122
Week 30,0.0,3.303846153846159,9.408155601166122
Week 31,0.0,3.303846153846159,9.408155601166122
Week 32,0.0,3.303846153846159,9.408155601166122
Week 33,0.0,3.303846153846159,9.408155601166122
Week 34,0.0,3.303846153846159,9.408155601166122
Week 35,0.0,3.303846153846159,9.408155601166122
Week 36,0.0,3.303846153846159,9.406686391293341
Week 37,0.0,3.226923076923082,9.375718095880764
Week 38,0.0,3.150000000000005,9.338550381389775
Week 39,0.0,3.0730769230769277,9.29527161345718
Week 40,0.0,2.9961538461538506,9.246003144258866
Week 41,0.0,2.9192307692307735,9.190899312509815
Week 42,0.0,2.8423076923076964,9.13014744346409
Week 43,0.0,2.7653846153846193,9.06396784891484
Week 44,0.0,2.6884615384615422,8.9926138271943
Week 45,0.0,2.611538461538465,8.916371663173797
Week 46,0.0,2.534615384615388,8.835560628263735
Week 47,0.0,2.457692307692311,8.75053298041362
Week 48,0.0,2.380769230769234,8.66167396411202
Week 49,0.0,2.3038461538461568,8.569401810386621
Week 50,0.0,2.2269230769230797,8.474167736804171
Week 51,0.0,2.1500000000000026,8.376455947470504
Week 52,0.0,2.0730769230769255,8.27678363303056
